time,open,high,low,close,volume
2026-02-25 00:00:00+00:00,583.61,583.94,583.36,583.44,328.241
2026-02-25 00:05:00+00:00,583.43,583.88,583.17,583.17,231.197
2026-02-25 00:10:00+00:00,583.17,583.73,582.98,582.99,390.693
2026-02-25 00:15:00+00:00,582.98,583.72,582.83,583.63,599.854
2026-02-25 00:20:00+00:00,583.63,583.64,581.6,582.7,1121.368
2026-02-25 00:25:00+00:00,582.69,582.84,581.51,581.82,415.841
2026-02-25 00:30:00+00:00,581.82,583.03,581.82,582.72,297.571
2026-02-25 00:35:00+00:00,582.72,583.78,582.72,583.78,195.988
2026-02-25 00:40:00+00:00,583.77,584.43,582.94,584.41,271.863
2026-02-25 00:45:00+00:00,584.41,584.41,583.57,584.11,259.671
2026-02-25 00:50:00+00:00,584.12,584.91,584.12,584.87,102.822
2026-02-25 00:55:00+00:00,584.86,585.09,584.22,584.36,119.369
2026-02-25 01:00:00+00:00,584.36,585.56,583.82,585.19,336.86
2026-02-25 01:05:00+00:00,585.2,587.57,585.2,587.13,780.373
2026-02-25 01:10:00+00:00,587.13,597.04,586.99,595.61,5329.025
2026-02-25 01:15:00+00:00,595.61,598.09,594.04,597.52,2457.477
2026-02-25 01:20:00+00:00,597.52,600.36,596.81,597.6,4322.107
2026-02-25 01:25:00+00:00,597.6,598.8,597.09,597.17,1101.063
2026-02-25 01:30:00+00:00,597.18,598.42,596.08,596.13,1966.211
2026-02-25 01:35:00+00:00,596.14,598.67,595.71,597.82,1793.314
2026-02-25 01:40:00+00:00,597.82,598.17,596.07,596.24,885.519
2026-02-25 01:45:00+00:00,596.24,598.68,596.15,598.22,422.765
2026-02-25 01:50:00+00:00,598.22,598.31,596.74,597.62,566.685
2026-02-25 01:55:00+00:00,597.62,598.11,597.52,597.53,502.25
2026-02-25 02:00:00+00:00,597.53,599.48,597.44,598.35,956.775
2026-02-25 02:05:00+00:00,598.35,601.53,598.0,599.91,1690.107
2026-02-25 02:10:00+00:00,599.91,601.64,599.63,601.57,808.676
2026-02-25 02:15:00+00:00,601.58,602.31,600.42,601.52,2149.907
2026-02-25 02:20:00+00:00,601.52,602.0,600.81,600.81,846.526
2026-02-25 02:25:00+00:00,600.8,601.23,600.36,600.7,547.66
